title,lead author,year,publication type,genetics,genomic,evolution,sex differences,dosage (test),mechanism,cell stuff,issue,development,epigenetics,methods,treatment,race,unsure,irrelevant,notes etc
An intronic haplotype in Œ± galactosidase A is associated with reduced mRNA expression in males with cryptogenic stroke,zeevi,2014,patinet study,fabry alpha-glactosidase gene (GLA),,,,,,,"fabry disease, early-onset stroke",,,patient studies (halotyping?),,,,,
Meta-analysis of GWAS on two Chinese populations followed by replication identifies novel genetic variants on the X chromosome associated with systemic lupus erythematosus,zhang,2015,meta-analysis,x-linked genes,,,x,,,,sle,,,meta-analysis of two GWAS ,,,,,
Role of estrogen in suppressing autoimmunity in coxsackievirus B3-induced myocarditis,huber,2010,,,,,,,estrogen,T cells,"picomaviruses, immunity",,,,,,,,
Editorial: Gene Regulation From the X-Chromosome During Development and Disease,anguera,2020,editorial,,,,,,,,,,,,,,,,
Variability of X chromosome inactivation: Effect on levels of TIMP1 RNA and role of DNA methylation,anderson,2002,experiment,TIMP1,,,potentially,,xci,metalloproteinases,,,dna methylation,"analyzed gene expression levels using an RNase protection assay, examined in rodent/human somatic cell hybrids",,,,,
Role of the Androgen Receptor Gene CAG Repeat Polymorphism on the Sequence of Pubertal Events and Adiposity in Girls with High Dehydroepiandrosterone Sulfate Level,lardone,2019,case-control study,(CAG)n,,,,,"hormones, gene expression?",androgen receptor,"pubertal events, body composition",,methylation levels,nested case-control study within the growth and obesity cohort study with girls who had high dehydropiandroesterone sulfate,,,,,
"A latent modeling approach to genotype-phenotype relationships: maternal problem behavior clusters, prenatal smoking, and MAOA genotype",mcgrath,2012,study,MAOA,,,,,,,antisocial behavior,,,latent modeling approach from prospective pregnancy cohort to model female problem behavior phenotype,,,,,
Let's talk about sex: A biological variable in immune response against melanoma,dakup,2022,review,,,,x,,,,melanoma development,,,,,,,,
Genetic epidemiology of rheumatoid disease,ollier,1995,,DRB1,,,,,,human leukocyte antigens (HLA),rheumatoid arthritis,,,,,,,,
"Sex difference in methylation of single-copy genes in human meiotic germ cells: Implications for X chromosome inactivation, parental imprinting, and origin of CpG mutations",driscoll,1990,experiment,"HPRT, G6PD, P3, PGK, GLA, X-linked F9, autosomal EPO",,,x,,,chrX reactivation,female germ cells,,"methylation status, patterns",examined human fetal ovaries at developmental stages from meiosis initiation to DNA synthesis; analyzed 57 MsPI sites from five x-linked housekeeping genes and two tissue specific geenes,,,,,
Sexual epigenetic dimorphism in the human placenta: Implications for susceptibility during the prenatal period,martine,2017,study,,x,,x,,,,infant,,placental DNA methylation,placental DNA methylation assessed at over 480k CpG sites from male/female infants in extremely low gestational age newborns cohort,,,,,
Inactivation status of PCDH11X: Sexual dimorphisms in gene expression levels in brain,lopes,2006,experiment,PCDH11X/PCDHX,,gene pair unique to humans (potentially related to mammalian evolution),x,,exci,,brain,,cpg island methylation,"bisulphite sequencing analysis, quantitative real-time PCR",,,,,
Preferential X inactivation in human placenta membranes: Is the paternal X inactive in early embryonic development of female mammals?,ropers,1978,,G6PD,,x,,,"xci, preferential expression of maternal allele",,female embryonic development,,,,,,,,"marsupials, rodents, humans"
Sex difference in neural tube defects in p53-null mice is caused by differences in the complement of X not Y genes,chen,2008,study,Trp53,,,x,,chrX number differences,,neural tube defects,,,"examined Trp53-null C57BL/6 mouse embryos, neonates, and at birth",,,,,
Sex Differences in Immunometabolism: An Unexplored Area,mishra,2020,review,,,,x,,,,immunometabolism,,,,,,,,
"Maltreatment, MAOA, and Delinquency: Sex Differences in Gene-Environment Interaction in a Large Population-Based Cohort of Adolescents",aslund,2011,study,MAOA-VNTR,,,,,functional polymorphism + childhood maltreatment,,adolescent delinquency,,,"cohort of 1825 high school students completed an anonymous questionnaire, saliva samples collected",,,,,
Oculo-Facio-Cardio-Dental Syndrome: Skewed X Chromosome Inactivation in Mother and Daughter Suggest X-linked Dominant Inheritance,hedera,2003,case study,,,,,,"xci, (determining whether or not OFCD is) X-linked dominant",,"oculo-facio-cardio-dental syndrome, OFCD",,,case study of mother and daughter who were diagnosed with OFCD,,,,,
The regulation of Œ±-foetoprotein minigene expression in the germline of mice,hammer,1986,,,,,,,,,,,,,,,,,
Deletions in Xq26.3-q27.3 including FMR1 result in a severe phenotype in a male and variable phenotypes in females depending upon the X inactivation pattern,wolff,1997,family case study,"FMR1, Xq26.3-q27.3",,,,,cytogenetic deletion,,"fragile X, intellectual, neurological development",,methylation analyses,case studies  of two families,,,,,
Etiologies underlying sex differences in Autism Spectrum Disorders,schaafsma,2014,review,,,,x,,,,autism spectrum disorders,,,,,,,,
X-inactivation and human disease: X-linked dominant male-lethal disorders,franco,2006,,,,,,,xci,,"oral-facial-digital type I, micropthalmia, linear skin-defects syndromes",,,discussion of mouse models,,,,,
Sex differences in neurological and psychiatric disorders,young,2014,,,,,,,,,,,,,,,,,
Long Noncoding RNAs That Function in Nutrition: Lnc-ing Nutritional Cues to Metabolic Pathways,lovell,2022,review,,,,x,,,lncrna,metaboic response,,,,,,,,
Detection of Fabry's disease heterozygotes by hair root analysis,beaudet,1978,study,,,,,,"α-galactosidase/β-hexosaminidase ratio, new mutation?, maybe xci",,fabry's disease,,,ratio measured for individual hair roots as a method for heterozygote detection,,,,,
A longitudinal study of epigenetic variation in twins,chung,2010,study,"DRD4, SLC6A4/SERT, MAOA",,,,,"dna methylation, xci",,disease susceptibility,,DNA methylation,quantitatively measured DNA methylation across the promoter regions of specific genes in twin pairs,,,,,
Role of the region 3' to Xist exon 6 in the counting process of X- chromosome inactivation,clerc,1998,experiment,,,,,,xci,"embryonic stem cells, x-inactivation center (xic)",,,,"""In order to characterize functional elements within Xic and the Xist gene, we created a 65-kb cre/loxP deletion extending 3' to Xist exon 6""",,,,,
Skewed X-chromosome inactivation and XIST locus methylation levels do not contribute to the lower prevalence of Parkinson's disease in females,sharma,2017,study,,,,x,,"skewed xci, hypomethylation",,parkinson's disease,,,"examined xci patterns using a human androgen receptor gene-based array (determined NO ASSOCIATION), dna methylation analysis",,,,,
Control of UVB immunosuppression in the mouse by autosomal and sex-linked genes,noonan,1994,experiment,"CB6F1, B6CF1",,,x,,irradiation with YVB,,"systemic immunosuppression detectable as suppression of contact hypersensitivity, susceptibility to UV suppression",,,investigated susceptibility to UV suppression in reciprocal F1-hybrid and backcross mice derived from BALB/c (low) and C57BL/6 (high),,,,,
Sex Differences in Brain and Behavior: Hormones Versus Genes,bocklandt,2007,review,,,,x,,sex determination,,,,,,,,,,
Abnormal methylation does not prevent X inactivation in ICF patients,bourc'his,1999,experiment,,,,,,"dna undermethylation, xci, cpg island methylation",,ICF syndrome,,dna undermethylation,"""Here we show that CpG island methylation is abnormal in some ICF patients but in other ICF patients, the difference in methylation pattern between Xi and Xa (active X) is maintained...""; dna methylation in icf syndrome has little consequence on...",,,,,
Landscape of X chromosome inactivation across human tissues,tukainen,2017,study,,,,,,xci,,,,,":We show that incomplete XCI affects at least 23% of X-chromosomal genes, identify seven genes that escape XCI with support from multiple lines of evidence and demonstrate that escape from XCI results in sex biases in gene expression, establishing incomplete XCI as a mechanism that is likely to introduce phenotypic diversity...""",,,,,i've read this; good paper
The impact and management of Turner's syndrome in adult life,conway,2002,op-ed,,,,,,,,turner's syndrome,,,,x,,,,
Mechanism of Sex Differences in Bladder Cancer: Evident and Elusive Sex-biasing Factors,lam,2022,review,,,,x,,,,bladder cancer,,,,,,,,
"A systematic review and meta-analysis of 271 PCDH19-variant individuals identifies psychiatric comorbidities, and association of seizure onset and disease severity",kolc,2019,review,PCDH19,,,,,gene mutations,,"epilepsy and mental retardation limited to females, EEMR",,,,,,,,
X Chromosome inactivation: a modifier of factor VIII and IX plasma levels and bleeding phenotype in Haemophilia carriers,garagiola,2021,study,"F8, F9",,,x (due to pattern of inheritence),,"gene variants, low FVIII or FIX coagulant activity",,"hemophilia A, hemophilia B",,,HUMARA assay perforned in 73 symptomatic carreiers,,,,,
Sexually dimorphic duct system of the submandibular gland in mouse with testicular feminization mutation (Tfm/Y),sawada,1992,study,Tfm/Y,,,,,,,"androgen insensitivity, sexual dimorphic development",,,"""The aim of this study was to examine sexually dimorphic development of the submandibular gland of Tfm/Y mutant mice in comparison with those of wild-type male, wild-type female and heterozygous Tfm female mice""",,,,,
Escape From X-Chromosome Inactivation: An Evolutionary Perspective,posynick,2019,review,,,x,,,exci,,,,,,,,,,read this
Cytologic evidence for preferential inactivation of the paternally derived X chromosome in XX mouse blastocysts,takagi,1978,experiment,,Cattanach's X/autosome translocation,,,,xci?,,,,,"""A total of 941 mouse blastocysts obtained from two types of crosses in which one of parents carried Cattanach's X/autosome translocation was studied cytogenetically by quinacrine mustard fluorescence""; karyotype analysis",,,,,
X-linked dominant ichthyosis,happie,1979,review,,,,,,,,icthyosis,,,,,,x,,
Know Your Model: The role of sex in phenotype penetrance and severity,bello,2020,,,,,,,,,,,,,,,,,
Sex differences in cardiomyopathies,meyer,2014,review,,,,x,,,,cardiomyopathies,,,,,,,,
"X inactivation patterns in two syndromes with probable X-linked dominant, male lethal inheritance",wieracker,1985,experiment,,,,x (probably),,xci,,"incontinentia pigmenti bloch-sulzberger syndrome, aicardi syndrome",,,,,,,,
Genes that escape from X inactivation,berletch,2011,review,,,,,,,,,,,,,,,,
Whole arm translocation t(1;13) in an infertile man,moreau,1984,case study,,,,,,"autosomal rearrangements, xci",,male sterility,,,,,,,,
Embryonic growth and the evolution of the mammalian Y chromosome. II. Suppression of selfish Y-linked growth factors may explain escape from X-inactivation and rapid evolution of Sry,hurst,1994,,chrY,,x,,,selfish growth factors,,,,,,,,,,
"The pseudoautosomal regions, SHOX and disease",blascke,2006,review,SHOX,PAR,,,,,,exci,,,,,,,,
Rett syndrome deserves your attention,percy,2007,,,,,,,,,,,,,,,,,
Sex Differences in the Cerebellum and Frontal Cortex: Roles of Estrogen Receptor Alpha and Sex Chromosome Genes,abel,2011,study,,sex chr genes,,x,,,calbindin D28K,neurobehavioral disease,,,"""weanling C56BL/6J mice were used to examine sex differences in the Calb protein and message focusing on regions outside of the hypothalamus""",,,,,
The Interplay of Non-coding RNAs and X Chromosome Inactivation in Human Disease,russo,2018,review,,,,,,xci,"ncRNAs, XIST","gastric cancer, gall bladder cancer, genetic pathologies, klinefelter's",,,,,,,,
The genetics of sex differences in brain and behavior,ngun,2011,review,,,,x,,,,"behavioral, brain",,,,,,,,
A synaptobrevin-like gene in the Xq28 pseudoautosomal region undergoes X inactivation,d'esposito,1996,study,SYBL1,,x,,,"exci, differential gene expression",PAR,,,,,,,,,
Genes that escape from X-chromosome inactivation: Potential contributors to Klinefelter syndrome,navarro-corbos,2020,review,highlight some genes,,,,,"xci, exci",,klinefelter's,,,,,,,,
Why is female sex an independent predictor of shortened overall survival after proton/photon radiation therapy for skull base chordomas?,halperin,1997,,,,,,,,,,,,,,,,,
Sex Differences in Differentiated Thyroid Cancer,shobab,2022,review,,,,x,,,,thyroid cancer,,,,,,,,
Contributing factors in multiple sclerosis and the female sex bias,khalid,2014,review,,,,x,,,,"autoimmune disease, multiple sclerosis, ms",,,,,,,,
Developmental patterns of three X chromosomal enzyme activities in the brains of female and male mice. Lack of sex-dependent reaction to a fractionated prenatal x-ray dose,weber,1982,study,,,,,,"xci, x-reactivation",,,x,,"""The developmental profiles of the activities of the X chromosome-linked enzymes alpha-galactosidase, hypoxanthine guanine phosphoribosyltransferase, and glucose-6-phosphate dehydrogenase were studied in the brains of mice""",,,,,
Cytogenetic polyclonality in hematologic malignancies,johansson,1999,study,,,,x,,cytogenic polyclonality,hematolohic malignancies,,,,,,,,,
"Unusual clinical expression of dystrophinopathy in a female, mimicking a congenital myopathy",palmucci,1999,case study,,,,,,xci ,,"delayed motor development, hypotrophy",,,"""Among 2,243 cytogenetically investigated hematologic malignancies [studied]...""",,,,,
Considering Sex as a Biological Variable in Basic and Clinical Studies: An Endocrine Society Scientific Statement,bhargava,2021,op-ed,,,,,,,,,,,,,,,,statement on considering sex as a bio variable in experiments
Genetics of cardiovascular disease: Importance of sex and ethnicity,winham,2015,review,,,,x,,,,,,,,,,,,
X Inactivation and Escape: Epigenetic and Structural Features,fang,2019,review,,,,,,"xci, exci",,,,x,,,,,,i've read this
Sex-specific differences in human placenta transcriptome,dopierala,2017,study,,,,x,,some xci,protein-coding and lncrna ,,,,"seq RNA from 88 healthy human placentra, differential gene expression ",,,,,
Escape from X inactivation in mice and humans,berletch,2010,review,,,,,,xci,,,,,,,,,,
Mechanisms of disease: Neurogenetics of MeCP2 deficiency,francke,2006,,MECP2,,,,,xci,,rett syndrome,,,,,,,,
Fabry disease - a rare but important cause of left ventricular hypertrophy,muller,2018,,,,,,,"x-linked lysosomal storage disease, xci",,fabry disease,,,,,,,,
Gender and cardiovascular disease: are sex-biased microRNA networks a driving force behind heart failure with preserved ejection fraction in women?,florjin,2018,,,,,x,,"preserved ejection fraction, miRNA expression",,cardiovascular disease,,,,,,,,
"Pairing of X and Y chromosomes, non-inactivation of X-linked genes, and the maleness factor",polani,1982,"op-ed, observations",,,,,,nonrandom xci (on distal Xp),,,,,,,,,,
Genetic conflict and evolution of mammalian X-chromosome inactivation,moore,1995,,,,x (conflict theory),,,"autosomal imprinting, xci",,,,,,,,,,
The two active X chromosomes in female ESCs block exit from the pluripotent state by modulating the ESC signaling network,schulz,2014,experiment,,,,,,xci,"embryonic stem cells, MAPK and Gsk3 signaling",,,,,,,,,
XCI in preimplantation mouse and human embryos: First there is remodelling,van den berg,2011,review,,,,,,xci,extra-embryonic tissue,,mouse/human preimplantation embryos,,mouse v human,,,,,
An apparent excess of sex- and reproduction-related genes on the human X chromosome,saifi,1999,experiment,,sex- and reproduction-related (SRR) genes,,sex determination or differentiation,,,,,,,"""We describe here the results of a search of Mendelian inheritance in man, GENDIAG and other sources which suggest that...""",,,,,come back to this
Females are mosaics - X inactivation and sex differences in disease,graves,2008,,,,,,,,,,,,,,,,,
Sex-specific gene expression in porcine pre-implantation embryos,kradolfer,2016,experiment,,,,,,xci,,,porcine (pre-implantation) embryos,,rnaseq for individual blastocysts... lots of stuff....,,,,,
Greater Intrasex Phenotype Variability in Males Than in Females is a Fundamental Aspect of the Gender Differences in Humans,lehre,2009,study,,,,x,,,,intrasex variability,,,restrospective statistical analysis of human intrasex variability,,,,,
Sex and gender differences in the causes of dementia: A narrative review,rocca,2014,review,,,,x,,protein differences,,"dementia, alzheimer's ",,,,,,,,
Homozygous Tsix mutant mice reveal a sex-ratio distortion and revert to random X-inactivation,lee,2002,experiment,Tsix,,,,,xci,,,,,"""...generated homozygous Tsix-null mice (X(Delta)X(Delta)) to test how deleting the second allele affects the choice of XCI""",,,,,
Sexual dimorphism in interferon-tau production by in vivo-derived bovine embryos,kimura,2004,study,,,,x,,,"interferon-tau, blastocysts",cattle pregnancy,bovine embryos,,"""In the present study, we have examined whether sexually dimorphic production of IFN-tau, which is observed among IVP blastocysts, also occurs among in vivo-produced blastocysts, and whether this difference between the sexes persists to day 14 when silencing of one of the X-chromosomes in the trophectoderm is complete""",,,,,
X-inactivation of the Sts locus in the mouse: an anomaly of the dosage compensation mechanism,jones,1989,experiment,x- and y-borne STS locus,,,,,xci,,,,,"""The behaviour of the X- and Y-borne Sts locus has been studied in male and female mice...""",,,,,
Sex-dependent insulin like growth factor-1 expression in preattachment equine embryos,beckelmann,2013,study,,,,x,,"different growth factors (insulin like growth factor, IGF-1), xci",,embryo survival,male horse embryos,,"""nsulin like growth factor-1 mRNA expression of in vivo-produced equine embryos on different days of pregnancy (Day 8, N = 6; Day 10, N = 8; Day 12, N = 14) was analyzed""",,,,,horses
Evolution of mammalian sex chromosomes and sex-determining genes,graves,1994,,,,x,,,,,,,,,,,,,
Nature's Curiosities - Bilateral Gynandromorphism in Mice,klein,2022,case study,,,,,,,,,,,,,,,,androgynous mouse!
Chromosome-wide DNA methylation analysis predicts human tissue-specific X inactivation,cotton,2011,study,,,,,,xci,,,,differential dna methylation,"""We used the methylation differences between males and females to predict XCI statuses in blood and found that 81% had the same XCI status as previously determined using expression data""",,,,,come back to this
The nature of quantitative genetic variation in Drosophila. III. Mechanism of dosage compensation for sex-linked abdominal bristle polygenes,frankham,1977,experiment,,sex-linked abdominal bristle polygenes,,,,"dosage compensation, sex-linked henes, xci",,,,,"""Seventeen lines, each homozygous for a different X chromosome but all with a common autosomal genetic blackground, were constructed and assayed for abdominal bristle number to determine whether dosage compensation operates for sex-linked genes affecting this character""",,,,,
"Amelogenin dosage compensation in carcinoma of colon, lung, liver and kidney, is not a marker of clonality in males",zvejnieks,1998,experiment,"AMGX, AMGY",,,,,xci,clonal composition of tissues from women,cancer (carcinoma),,methylation patterns; Alu I methylation sensitive restriction endonuclease sites; nonrandom methylation patterns,"""In the current study, the methylation patterns for portions of the amelogenin genes are tested, which are encoded on both the X- and Y-chromosome (AMGX and AMGY)""; pcr amplification",,,,,
"Cardiovascular diseases, aging, and the gender gap in human longevity",aviv,2007,study,,,,x,,,,ageing ,,,,,,x,,
Prenatal sex differentiation: genetic and hormonal control,lenz,1974,,,,,sex differentiation,,,,prenatal sex differentiation,,,,,,,,
A Boundary of Long-Range G+C-Percent Mosaic Domains in the Human Mhc Locus - Pseudoautosomal Boundary-Like Sequence Exists near the Boundary,fukagawa ,1995,experiment,,,,,,,,,,methylation,"""We found the human MHC locus to be an example of megabase-level GC% mosaic structures and predicted a possible boundary of the megabase-level domains within an undercharacterized 450-kb region harboring the junction of MHC classes II and III""",,,,,
Autism-lessons from the X chromosome,marco,2006,review,,,,,,,,autism,,,,,,,,
"Gpbox (Psx2), a homeobox gene preferentially expressed in female germ cells at the onset of sexual dimorphism in mice",takasaki,2000,experiment,Gpbox,,,,,,,mammalian oogenesis,,,"""To identify early markers of oogenesis, sex-specific urogenital ridge cDNA libraries were constructed from E12-13 embryos""",,,,,
Adrenoleukodystrophy in female heterozygotes: underrecognized and undertreated,jangouk,2012,review,ABCD1,,,x,,"gene mutations, fatty chain alterations",,x-linked adrenoleukodystrophy,,,,,,,,
Y Chromosome Gene Expression in the Blood of Male Patients With Ischemic Stroke Compared With Male Controls,tian,2012,experiment,,chrY,,x,,chrY gene expression,,ischemic stroke,,,""" RNA was isolated from blood and was processed using Affymetrix Human U133 Plus 2.0 expression arrays """,,,,,
Type I IFN-dependent antibody response at the basis of sex dimorphism in the outcome of COVID-19,gabriele,2021,experiment,,,,x,,xci?,plasmacytoid dendritic cells,COVID,,,,,,,,
A new form of hypertrichosis inherited as an X-linked dominant trait,macias-flores,1984,case study,,,,,,,,congenital generalized hypertrichosis,,,,,,,,
Minimal sex differences in gene expression in the rat superior olivary complex,ehmann,2008,experiment,,x,,x (or lack of),,,,,,,"""assessed for sex differences in the auditory brainstem""; whole rat genome microarray",,,,,
"X-linkage, lyonization and a female premium in the verbal IQ results of Orkney schoolchildren, 1947-75",goodman,1979,study,,,,,,,,,,,"""This paper reports the preliminary findings of an analysis of the Moray House (verbal IQ) results of a base sample of 4383 Orkney children due to be tested in the schools at age 11 ± 1 1/4 years in 1947-75""",,,x,,
Location of the X inactivation center in primates and other mammals,flejter,1986,study,,,,,,,,,,,,,,,,
"Time to get ill: the intersection of viral infections, sex, and the X chromosome",forsyth,2021,review,,,,x,,,,viral infections,,,,,,,,
Sex differences in neuro(auto)immunity and chronic sciatic nerve pain,linher-melville,2020,review,,,,x,,,"antigens, immune cells","chronic pain, autoimmune disease",,,,,,,,
Sex-specific epigenetic programming by gestational stress,bale,2017,experiment,,,,x,,,,neurodevelopmental disorders,x,,"mouse model of early prenatal stress, chip seq;",,,,,
Akodon sex reversed females: The never ending story,bianchi,2002,experiment,,,,,,extreme dosage compensation (xci),,fertile A. azare females ,,,"C-banding, positive testing",,,,,
Statistical methods for testing X chromosome variant associations: application to sex-specific characteristics of bipolar disorder,jons,2019,study,,,,x,,xci,,bpd,,,"""We examined the association of over 14,000 X chromosome single nucleotide polymorphisms (SNPs) with sex-associated BD traits using two statistical approaches that account for whether a SNP may be undergoing or escaping XCI""",,,,,come back to this
Sex differences in miRNA as therapies for ischemic stroke,sohrabji,2019,review,,,,x,,,miRNA,stroke,,,,,,,,
IPEX and FOXP3: Clinical and research perspectives,wildin,2005,,FOXP3,,,x,,xci,T cells,IPEX syndrome,,,,,,,,
Changes in sex ratio from fertilization to birth in assisted-reproductive-treatment cycles,tarin,2014,review,,,,,,xci,,sex ratio,,,"""we aim to estimate the sex ratio at fertilization and implantation using data from embryos generated by standard in-vitro fertilization (IVF) or intracytoplasmic sperm injection (ICSI) in preimplantation genetic diagnosis cycles""",,,,,
The disparate maternal aunt-uncle ratio in male transsexuals: an explanation invoking genomic imprinting,green,2000,study,,,,,,,xci/exci,sex ratio,,,,,,,,hmmmm...
Developmental consequences of sexual dimorphism during pre-implantation embryonic development,gutierrez-adan,2006,,,,,,,,,,abnormal development,,,,,,,
X inactivation as a source of behavioural differences in monozygotic female twins,loat,2004,experiment,,,,,,xci,,differential gene expression in monozygotic twins,,,"""We tested this hypothesis using data from around 4000 same-sex twin pairs on 9 social, behavioural and cognitive measures at ages 2, 3 and 4""",,,,,
Chromosome fragility and psychopathology in obligate female carriers of the fragile X chromosome,freund,1992,study,,,,,,fragility (fragile X),,psychopathological conditions,,,"""...was investigated in a sample of 40 obligate female carriers of the fragile X chromosome""",,,,,
Sex bias in autoimmunity,billi,2019,review,,,,x,,autoimmune disease,,,,,,,,,,
Puberty Is Associated with a Marked Increase of the Female Sex Predominance in Chronic Autoimmune Thyroiditis,mariotti,2009,study,,,,x,,puberty,,chronic autoimmune thyroiditis,,,"""The F: M ratio of 133 children with CAT (group A, age at diagnosis 2.4-17.7 years) was compared with that of 113 adult CAT patients (group B, age at diagnosis 21-79 years)""",,,,,
Individuality and Variation of Personal Regulomes in Primary Human T Cells,qu,2015,study,,,,x,,exci,CD4+ T cells,gene regulation,,,"""we survey variation and dynamics of active regulatory elements genome-wide using longitudinal samples from human individuals""; atac-seq",,,,,
"The effects of 2,4-dinitrophenol and d-glucose concentration on the development, sex ratio, and interferon-tau (IFNT) production of bovine blastocysts",green,2016,experiment,,,,x,,"glucose metabolism, interferon-tau secretion",,,preimplantation bovine embryo,,"""The aim of this study was to determine if altered glucose metabolism, through glucose supplementation and/or uncoupling oxidative phosphorylation with 2,4-dinitrophenol (DNP), affected embryo development""",,,,,
The origin and evolution of vertebrate sex chromosomes and dosage compensation,livernois,2012,review,,,x (amniotes),x,,dosage insensitivity,,sex chromosome function,,,,,,,,
Sex differences in brain expression of X- and Y-linked genes,xu,2006,,,,,x,,"exci, differential gene expression",,brain development and function,,,,,,,,
Assessment of escape from X chromosome inactivation on the single cell level in human pDCs,hagen,2019,experiment,TLR7,,,x,,"exci, differential gene expression (biallelic v monoallelic)",plasmacytoid dendritic cells,"infectious, autoimmune disease",,,"""The aim of this project was to investigate on the single cell level whether pDCs with escape from XCI in TLR7 have a superior capacity of transcribing IFNα mRNA""",,,,,
Epigenetic Contribution to Sex Differences in Brain and Behavior,auger,2017,,,,,x,,,,brain and behavior,,x,,,,,,
Sex differences in number of X chromosomes and X-chromosome inactivation in females promote greater variability in hearing among males,Summers,2022,data analysis,,,,x,,"xci, greater male variability",,hearing,,,,,,,,
The Evolution of Genomic Imprinting,Chandra,1990,,,,x,,,genomic imprinting,,,,,,,,,,
MAOA haplotypes associated with thrombocyte-MAO activity,Jansson,2005,study,MAO,,,x,,EXCI,,thrombocyte MAO activity,,,,,,,,
The Sexual Differentiation of the Human Brain: Role of Sex Hormones Versus Sex Chromosomes,Bakker,2019,review,,,,x,,sex hormones,,human brain,,,,,,,,
"Avian sex, sex chromosomes, and dosage compensation in the age of genomics",Graves,2014,review,"DMRT1, SRY",LINEs,"avian, mammal",x,,sex chromosome systems,,,,,,,,,,
Synteny and regional marker order assignment of 26 type I and microsatellite markers to the horse X- and Y-chromosomes,Shiue,2000,experiment,"ZFX, ZFY, SRY, STS-X, CLCN4, ALAS2, XIST, F9, BGN, F18, G6PD",,"placental mammal, horse",,,,horse mouse somatic cell hybrid,gene conservation,,,FISH,,,,,
"Functional analysis of sex-determination genes by gene silencing with LNA-DNA gapmers in the silkworm, Bombyx mori",Sakai,2015,experiment,"Imp(M), Bmdsx, Masc",,silkworm,,,Fem,,sex determination,,,gene knockdown,,,x,,
"Studies on hemophilia in Sardinia bearing on the problems of multiple allelism, carrier detection, and differential mutation rate in the two sexes",Filippi,1984,study,G6PD,,,,,,,"hemophilia, hemophilia A",,,pedigree,,Sardinia,,,
Matters of the heart: Cellular sex differences,Walker,2021,review,,,,x,,,,cardiovascular,,,,,,,,
Sex disparities in melanoma outcomes: The role of biology,Nosrati,2014,review,,,,x,,"immune function, oxidative stress response, vitamin D metabolism, sex hormones, xci, oncogenes, Y chromosome",,melanoma,,,,,,,,
The Unexplained Female Predominance of Systemic Lupus Erythematosus: Clues from Genetic and Cytokine Studies,Weckerie,2011,review,,,,x,,cytokine pathways,,SLE,,,,,,,,
Genomic imprinting in the mealybugs,Khosla,2006,review,,,mealybugs,,,"xci, heterochromatization, imprinting",,,,,,,,x,,
Female haemophilia A in a family with seeming extreme bidirectional lyonization tendency: Abnormal premature X-chromosome inactivation?,Ingerslev,1989,study,,,,,,"extreme lyonization, xci",,"haemophilia, haemophilia A",,,"pedigree, case study",,,,,
Women and Alport syndrome,Rheault,2012,review,,,,,,XCI skewing,,"X-linked alport syndrome, XLAS, renal disease, ESRD",,,,,,,,
Prenatal sex differences in the human brain before and after sexual maturation of the gonads,Johansson,2012,experiment,,,,x,,sex cell differentiation,,human brain,,,,,,,,
The contribution of Y chromosome genes to spontaneous differentiation of human embryonic stem cells into embryoid bodies in vitro,Dehkordi,2021,study,,,,,,"Y chromosome, MSY",,embryonic development,,,Royan H6 cell line,,,,,
Differential increase of steroid sulfatase activity in XX and XY trophoblast cells from human term placenta with syncytia formation in vitro,Ugele,2000,experiment,STS,,,,,"exci, cytotrophoblast system",,"STS, gene expression",,,placenta cells,,,,,
Sex-biased and parental allele-specific gene regulation by KDM6A,Ma,2022,experiment,KDM6A,,,x,,,,Kabuki syndrome,,,gene knockdown,,,,,
Faced with inequality: chicken do not have a general dosage compensation of sex-linked genes,Ellegren,2007,experiment,,,"avian, chicken",x,,,,,,,,,,,,
Woman: a physiological mosaic,Mattei,1974,,,,,,,,,,,,,,,,,
A new sex-specific underlying mechanism for female schizophrenia: accelerated skewed X chromosome inactivation,Zhang,2020,study,,,,x,,skewed xci,,"schizophrenia, neurological",,,,,,,,
Exploratory analysis of age and sex dependent DNA methylation patterns on the X-chromosome in whole blood samples,Li,2020,analysis,,dna methylation,,x,,,,,,,XWAS,,,,,
Sex-specific embryonic origin of postnatal phenotypic variability,Laguna-Barraza,2013,review,,,,x,,epigenetics,,,preimplantation embryo,,,,,,,
Sex Differences in Inflammatory Cytokines and Cd99 Expression Following in Vitro Lipopolysaccharide Stimulation,Lefevre,2012,study,"CD99, CD11b, IL-8",,,x,,cytokine levels,,"inflammatory response, inflammation",,,,,,,,
Deconstructing the sex bias in allergy and autoimmunity: From sex hormones and beyond,Laffont,2019,review,TLR7,,,x,,exci,,"autoimmune, SLE, asthma, immunological",,,immune cells,,,,,
"Sex differences in obesity, lipid metabolism, and inflammation‚ÄîA role for the sex chromosomes?",Zore,2018,review,,,,x,,exci,,"obesity, inflammation",,,mice,,,,,
X-linked imprinting: Effects on brain and behaviour,Davies,2006,review,,,imprinting,x,,,,"neurological, brain",,,,,,,,
Regulatory and evolutionary signatures of sex-biased genes on both the X chromosome and the autosomes,Shen,2017,analysis,"sDEG, sex-biased differentially expressed genes",,,x,,exci,,disease response,,,gene expression,,,,,
Sexual partner preference in animals and humans,Balthazart,2020,review,,,,x,,immunological system,,"sexual orientation, homosexual",,,,,,,,
Sex Differences in the Age of Genetics,Arnold,2009,,,,,,,,,,,,,,,,,
